cluster,sub_cluster,prefecture,worker_prefecture,item_label,item_label_vi,item_label_english,item_amount,item_quantity,item_total,Quantity in Label,is_unvalid_regex_quantity_manual,Final quantity,Price per unit,My Total,Is Valid Manual,Is Valid LLM,is_duplicate,is_outlier,is_same_prefecture,distance_proxy,sub_median,sub_mean,sub_std,sub_min,sub_max,sub_count,pref_median,pref_std,worker_median,worker_std,dist_median,dist_std,item_median,item_std,item_count,price_pred,price_residual,diff_from_sub_median,pct_diff_from_sub,diff_from_item_median,expected,std,lower_std,upper_std,is_in_hensachi_range
0,0.sub1,石川県,東京都,腰板剥がれ補修作業費(材工共),Chi phí sửa chữa lớp ốp tường bị bong tróc (bao gồm vật liệu và nhân công),Repair cost for peeling wainscoting (materials and labor included),8000,1,8000,,False,1,8000.0,8000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,14000.0,8485.28137423857,25000.0,14327.824318702487,25000.0,14327.824318702487,8000.0,,1,6320.43749999982,1679.56250000018,-17000.0,-0.68,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,False
0,0.sub1,愛知県,東京都,巾木補修作業費(材工共),Chi phí sửa chữa phào chân tường (bao gồm vật liệu và nhân công),Baseboard repair work cost (materials and labor included),10000,1,10000,,False,1,10000.0,10000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,10000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,10000.0,,1,8293.20987086513,1706.7901291348699,-15000.0,-0.6,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,False
0,0.sub1,新潟県,東京都,剥がれ補修作業費(材工共),Chi phí sửa chữa lớp sơn bị bong tróc (bao gồm vật liệu và nhân công),Repair work cost for peeling paint (materials and labor included),12000,1,12000,,False,1,12000.0,12000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,12000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,12000.0,,1,8708.948598131308,3291.0514018686918,-13000.0,-0.52,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,長野県,東京都,木枠補修作業費(材工共),Chi phí sửa chữa khung gỗ (bao gồm vật liệu và nhân công),Cost of repairing wooden frame (materials and labor included),15000,1,15000,,False,1,15000.0,15000.0,,,True,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,15000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,25000.0,14142.13562373095,2,8552.994666666606,6447.005333333394,-10000.0,-0.4,-10000.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,福井県,東京都,ﾒｸﾗﾌﾟﾚｰﾄ加工取付作業費(材工���),Chi phí gia công và lắp đặt tấm ốp trần (vật liệu và nhân công),Blind plate processing and installation work fee (materials and labor),15000,1,15000,,False,1,15000.0,15000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,15000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,15000.0,,1,11806.859999999895,3193.140000000105,-10000.0,-0.4,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,静岡県,東京都,補修作業費(材工共),Chi phí sửa chữa (bao gồm vật liệu và nhân công),Repair work costs (materials and labor included),16000,1,16000,,False,1,16000.0,16000.0,,,True,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,16000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,19000.0,4242.640687119285,2,7586.797678275256,8413.202321724744,-9000.0,-0.36,-3000.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,石川県,東京都,棚補修作業費(材工共),Chi phí sửa chữa kệ (bao gồm cả vật tư),Shelf repair work cost (including material work),20000,1,20000,,False,1,20000.0,20000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,14000.0,8485.28137423857,25000.0,14327.824318702487,25000.0,14327.824318702487,25000.0,7071.067811865475,2,6320.43749999982,13679.56250000018,-5000.0,-0.2,-5000.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,北海道,東京都,補修作業費(材工共),Chi phí sửa chữa (bao gồm vật liệu và nhân công),Repair work costs (materials and labor included),22000,1,22000,,False,1,22000.0,22000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,22000.0,,25000.0,14327.824318702487,25000.0,14327.824318702487,19000.0,4242.640687119285,2,9250.493606138298,12749.506393861702,-3000.0,-0.12,3000.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,群馬県,東京都,再固定作業費(材工共),Chi phí sửa chữa (bao gồm cả vật tư),Re-fixing work cost (including material work),25000,1,25000,,False,1,25000.0,25000.0,,,False,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,25000.0,0.0,25000.0,14327.824318702487,25000.0,14327.824318702487,25000.0,0.0,2,8098.583618968381,16901.416381031617,0.0,0.0,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
0,0.sub1,群馬県,東京都,再固定作業費(材工共),Chi phí sửa chữa (bao gồm cả vật tư),Re-fixing work cost (including material work),25000,1,25000,,False,1,25000.0,25000.0,,,True,False,0,1,25000.0,26210.526315789473,14327.824318702487,8000.0,60000.0,19,25000.0,0.0,25000.0,14327.824318702487,25000.0,14327.824318702487,25000.0,0.0,2,8098.583618968381,16901.416381031617,0.0,0.0,0.0,26210.526315789473,14327.824318702487,11882.701997086986,40538.35063449196,True
